X,Y,acceptedSc,decimalLon,decimalLat,stateProvi,icon_url
73.512978,18.992087,"""Ceropegia evansii Mc Cann""",73.512978000000004,18.992087000000001,"""Maharashtra""",./0.png
74.243253,16.704987,"""Ceropegia fantastica Sedgwick""",74.243252999999996,16.704986999999999,"""Maharashtra""",./0.png
73.87425,19.203184,"""Ceropegia vincifolia Hook.""",73.874250000000004,19.203184000000000,"""Maharashtra""",./0.png
73.87425,19.203184,"""Ceropegia mahabalei Hemadri & M.Y.Ansari""",73.874250000000004,19.203184000000000,"""Maharashtra""",./0.png
73.789802,19.997453,"""Ceropegia mahabalei Hemadri & M.Y.Ansari""",73.789801999999995,19.997453000000000,"""Maharashtra""",./0.png
73.535694,19.071969,"""Ceropegia lawii Hook.f.""",73.535694000000007,19.071968999999999,"""Maharashtra""",./0.png
74.243253,16.704987,"""Ceropegia shrirangii (Kambale, Gholave & Sardesai)""",74.243252999999996,16.704986999999999,"""Maharashtra""",./0.png
73.813554,17.71505,"""Ceropegia media (Huber) M.Y.Ansari""",73.813553999999996,17.715050000000002,"""Maharashtra""",./0.png
73.812657,17.715648,"""Ceropegia vincifolia Hook.""",73.812657000000002,17.715648000000002,"""Maharashtra""",./0.png
73.57,19.92,"""Ceropegia attenuata Hook.""",73.569999999999993,19.920000000000002,"""Maharashtra""",./0.png
73.535694,19.071969,"""Ceropegia lawii Hook.f.""",73.535694000000007,19.071968999999999,"""Maharashtra""",./0.png
73.789802,19.997453,"""Ceropegia mahabalei Hemadri & M.Y.Ansari""",73.789801999999995,19.997453000000000,"""Maharashtra""",./0.png
73.535694,19.071969,"""Ceropegia lawii Hook.f.""",73.535694000000007,19.071968999999999,"""Maharashtra""",./0.png
73.789802,19.997453,"""Ceropegia mahabalei Hemadri & M.Y.Ansari""",73.789801999999995,19.997453000000000,"""Maharashtra""",./0.png
74.003571,15.964716,"""Ceropegia jainii Ansari & B.G.Kulk.""",74.003570999999994,15.964715999999999,"""Maharashtra""",./0.png
73.811881,17.721972,"""Ceropegia vincifolia Hook.""",73.811881000000000,17.721972000000001,"""Maharashtra""",./0.png
77.617633,14.232145,"""Ceropegia juncea Roxb.""",77.617632999999998,14.232144999999999,"""Andhra Pradesh""",./0.png
73.685447,19.276822,"""Ceropegia lawii Hook.f.""",73.685446999999996,19.276821999999999,"""Maharashtra""",./0.png
73.530634,19.932154,"""Ceropegia lawii Hook.f.""",73.530634000000006,19.932154000000001,"""Maharashtra""",./0.png
73.650112,19.237132,"""Ceropegia lawii Hook.f.""",73.650111999999993,19.237131999999999,"""Maharashtra""",./0.png
73.638904,15.851414,"""Ceropegia attenuata Hook.""",73.638903999999997,15.851414000000000,"""Maharashtra""",./0.png
73.65,17.43,"""Ceropegia santapaui Wadhwa & Ansari""",73.650000000000006,17.430000000000000,"""Maharashtra""",./0.png
73.811028,16.381967,"""Ceropegia attenuata Hook.""",73.811027999999993,16.381967000000000,"""Maharashtra""",./0.png
73.823716,17.720831,"""Ceropegia media (Huber) M.Y.Ansari""",73.823716000000005,17.720831000000000,"""Maharashtra""",./0.png
74.018261,17.680464,"""Ceropegia hirsuta Wight & Arn.""",74.018260999999995,17.680464000000001,"""Maharashtra""",./0.png
74.118261,17.690464,"""Ceropegia noorjahaniae M.A.Ansari""",74.118261000000004,17.690463999999999,"""Maharashtra""",./0.png
73.515134,17.531904,"""Ceropegia santapaui Wadhwa & Ansari""",73.515134000000003,17.531904000000001,"""Maharashtra""",./0.png
73.559413,16.349219,"""Ceropegia attenuata Hook.""",73.559413000000006,16.349219000000002,"""Maharashtra""",./0.png
73.391224,18.712366,"""Ceropegia lawii Hook.f.""",73.391223999999994,18.712365999999999,"""Maharashtra""",./0.png
73.638904,15.851414,"""Ceropegia attenuata Hook.""",73.638903999999997,15.851414000000000,"""Maharashtra""",./0.png
73.811028,16.381967,"""Ceropegia attenuata Hook.""",73.811027999999993,16.381967000000000,"""Maharashtra""",./0.png
73.638904,15.851414,"""Ceropegia attenuata Hook.""",73.638903999999997,15.851414000000000,"""Maharashtra""",./0.png
73.515134,17.531904,"""Ceropegia santapaui Wadhwa & Ansari""",73.515134000000003,17.531904000000001,"""Maharashtra""",./0.png
73.778056,19.386389,"""Ceropegia lawii Hook.f.""",73.778056000000007,19.386389000000001,"""Maharashtra""",./0.png
73.15,19.25,"""Ceropegia lawii Hook.f.""",73.150000000000006,19.250000000000000,"""Maharashtra""",./0.png
73.774538,16.367949,"""Ceropegia attenuata Hook.""",73.774538000000007,16.367948999999999,"""Maharashtra""",./0.png
73.778,19.386457,"""Ceropegia lawii Hook.f.""",73.778000000000006,19.386457000000000,"""Maharashtra""",./0.png
73.182162,18.515752,"""Ceropegia odorata Nimmo""",73.182162000000005,18.515751999999999,"""Maharashtra""",./0.png
74.018261,17.680464,"""Ceropegia noorjahaniae M.A.Ansari""",74.018260999999995,17.680464000000001,"""Maharashtra""",./0.png
73.579332,19.931714,"""Ceropegia lawii Hook.f.""",73.579331999999994,19.931713999999999,"""Maharashtra""",./0.png
74.052174,17.620973,"""Ceropegia hirsuta Wight & Arn.""",74.052173999999994,17.620972999999999,"""Maharashtra""",./0.png
73.825842,17.723024,"""Ceropegia jainii Ansari & B.G.Kulk.""",73.825841999999994,17.723023999999999,"""Maharashtra""",./0.png
73.826615,17.723517,"""Ceropegia jainii Ansari & B.G.Kulk.""",73.826615000000004,17.723517000000001,"""Maharashtra""",./0.png
74.056229,17.615283,"""Ceropegia noorjahaniae M.A.Ansari""",74.056229000000002,17.615283000000002,"""Maharashtra""",./0.png
74.052191,17.620871,"""Ceropegia bulbosa Roxb.""",74.052190999999993,17.620871000000001,"""Maharashtra""",./0.png
73.748555,19.941211,"""Ceropegia bulbosa Roxb.""",73.748554999999996,19.941210999999999,"""Maharashtra""",./0.png
73.676477,19.298229,"""Ceropegia lawii Hook.f.""",73.676477000000006,19.298228999999999,"""Maharashtra""",./0.png
73.619412,19.773387,"""Ceropegia lawii Hook.f.""",73.619411999999997,19.773387000000000,"""Maharashtra""",./0.png
73.271179,18.988659,"""Ceropegia media (Huber) M.Y.Ansari""",73.271179000000004,18.988658999999998,"""Maharashtra""",./0.png
76.516667,11.25,"""Ceropegia media (Huber) M.Y.Ansari""",76.516666999999998,11.250000000000000,,./0.png
